,province_1,province_2,locality,street,lat,lon
8260,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
8261,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
8262,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
8263,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
8264,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
8265,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
8266,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
8267,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
8268,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
8269,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
8270,Центральный федеральный округ,Москва,Москва,Большой Саввинский переулок,55.734151,37.568201
8271,Центральный федеральный округ,Москва,Москва,улица Каретный Ряд,55.770112,37.608895
8272,Центральный федеральный округ,Москва,Москва,Летниковская улица,55.725255,37.64507
8273,Центральный федеральный округ,Москва,Москва,Пресненская набережная,55.749511,37.537083
8274,Центральный федеральный округ,Москва,Москва,проспект Мира,55.773322,37.632987
8275,Центральный федеральный округ,Москва,Москва,улица Большая Ордынка,55.743274,37.625981
8276,Центральный федеральный округ,Москва,Москва,улица Воронцово Поле,55.75438,37.653963
8277,Центральный федеральный округ,Москва,Москва,проспект Мира,55.789775,37.634326
8278,Центральный федеральный округ,Москва,Москва,Николоямская улица,55.747221,37.654682
8279,Центральный федеральный округ,Москва,Москва,Николоямская улица,55.747221,37.654682
8280,Центральный федеральный округ,Москва,Москва,Рочдельская улица,55.755991,37.56512
8281,Центральный федеральный округ,Москва,Москва,Трифоновская улица,55.789775,37.625487
8282,Центральный федеральный округ,Москва,Москва,Рочдельская улица,55.756346,37.564311
8283,Центральный федеральный округ,Москва,Москва,Усачёва улица,55.730847,37.576789
8284,Центральный федеральный округ,Москва,Москва,Тихий тупик,55.738029,37.665282
8285,Центральный федеральный округ,Москва,Москва,улица Гиляровского,55.777464,37.629996
8286,Центральный федеральный округ,Москва,Москва,Рочдельская улица,55.755586,37.562748
8287,Центральный федеральный округ,Москва,Москва,Пресненская набережная,55.746593,37.537371
8288,Центральный федеральный округ,Москва,Москва,Пресненская набережная,55.746593,37.537371
8289,Центральный федеральный округ,Москва,Москва,Пресненская набережная,55.746593,37.537371
8290,Центральный федеральный округ,Москва,Москва,Пресненская набережная,55.746593,37.537371
8291,Центральный федеральный округ,Москва,Москва,улица Кузнецкий Мост,55.760879,37.616764
8292,Центральный федеральный округ,Москва,Москва,улица Кузнецкий Мост,55.760879,37.616764
8293,Центральный федеральный округ,Москва,Москва,улица Бутырский Вал,55.778704,37.58499
8294,Центральный федеральный округ,Москва,Москва,улица Бутырский Вал,55.778704,37.58499
8295,Центральный федеральный округ,Москва,Москва,Пресненская набережная,55.747115,37.539078
8296,Центральный федеральный округ,Москва,Москва,Пресненская набережная,55.747115,37.539078
8297,Центральный федеральный округ,Москва,Москва,Пресненская набережная,55.747115,37.539078
8298,Центральный федеральный округ,Москва,Москва,Пресненская набережная,55.747115,37.539078
8299,Центральный федеральный округ,Москва,Москва,Пресненская набережная,55.747115,37.539078
8300,Центральный федеральный округ,Москва,Москва,улица Бутырский Вал,55.778461,37.585925
8301,Центральный федеральный округ,Москва,Москва,улица Бутырский Вал,55.778461,37.585925
8302,Центральный федеральный округ,Москва,Москва,улица Бутырский Вал,55.778461,37.585925
8303,Центральный федеральный округ,Москва,Москва,Лесная улица,55.777783,37.586877
8304,Центральный федеральный округ,Москва,Москва,Лесная улица,55.777783,37.586877
8305,Центральный федеральный округ,Москва,Москва,Лесная улица,55.777783,37.586877
8306,Центральный федеральный округ,Москва,Москва,Лесная улица,55.777783,37.586877
8307,Центральный федеральный округ,Москва,Москва,улица Земляной Вал,55.745448,37.656182
8308,Центральный федеральный округ,Москва,Москва,Лубянский проезд,55.756817,37.632305
8309,Центральный федеральный округ,Москва,Москва,Лубянский проезд,55.756817,37.632305
8310,Центральный федеральный округ,Москва,Москва,Лубянский проезд,55.756817,37.632305
8311,Центральный федеральный округ,Москва,Москва,Лубянский проезд,55.756817,37.632305
8312,Центральный федеральный округ,Москва,Москва,Бауманская улица,55.774345,37.678397
8313,Центральный федеральный округ,Москва,Москва,Нижний Кисловский переулок,55.753722,37.603675
8314,Центральный федеральный округ,Москва,Москва,проспект Мира,55.791258,37.635161
8315,Центральный федеральный округ,Москва,Москва,Орликов переулок,55.770244,37.647343
8316,Центральный федеральный округ,Москва,Москва,Ботанический переулок,55.77792,37.637668
8317,Центральный федеральный округ,Москва,Москва,улица Хамовнический Вал,55.723166,37.557017
8318,Центральный федеральный округ,Москва,Москва,Китайгородский проезд,55.749846,37.635072
8319,Центральный федеральный округ,Москва,Москва,Цветной бульвар,55.771145,37.620177
8320,Центральный федеральный округ,Москва,Москва,Цветной бульвар,55.771145,37.620177
8321,Центральный федеральный округ,Москва,Москва,Цветной бульвар,55.771145,37.620177
8322,Центральный федеральный округ,Москва,Москва,Цветной бульвар,55.771145,37.620177
8323,Центральный федеральный округ,Москва,Москва,улица Симоновский Вал,55.72926,37.660691
8324,Центральный федеральный округ,Москва,Москва,улица Симоновский Вал,55.72926,37.660691
8325,Центральный федеральный округ,Москва,Москва,улица Охотный Ряд,55.757131,37.617114
8326,Центральный федеральный округ,Москва,Москва,улица Охотный Ряд,55.757131,37.617114
8327,Центральный федеральный округ,Москва,Москва,улица Охотный Ряд,55.757131,37.617114
8328,Центральный федеральный округ,Москва,Москва,улица Охотный Ряд,55.757131,37.617114
8329,Центральный федеральный округ,Москва,Москва,улица Охотный Ряд,55.757131,37.617114
